timestamp,price,amount,side
1443913498,1546.19,0.001,BID
1443913538,1545.98,0.001,BID
1443913583,1545.53,0.5,BID
1443913585,1545.54,0.07,ASK
1443913594,1545.56,0.1,BID
1443913594,1545.63,0.2,BID
1443913596,1545.63,0.26,BID
1443913596,1545.9,0.04,BID
1443913610,1545.65,0.07,ASK
1443913610,1545.64,0.26,ASK
1443913610,1545.57,0.1,ASK
1443913610,1545.57,0.07,ASK
1443913611,1545.57,0.53,ASK
1443913611,1545.55,0.043,ASK
1443913611,1545.54,0.427,ASK
1443913626,1545.89,0.07,BID
1443913626,1545.9,0.03,BID
1443913628,1545.55,0.5,ASK
1443913638,1545.56,0.001,ASK
1443913657,1545.57,0.001,BID
1443913660,1545.58,0.258,ASK
1443913672,1545.56,0.06,ASK
1443913672,1545.55,0.44,ASK
1443913680,1545.55,0.196,ASK
1443913683,1545.54,0.003,ASK
1443913686,1545.51,0.175,BID
1443913726,1545.52,0.175,ASK
1443913730,1545.52,0.4,BID
1443913733,1545.46,0.5,ASK
1443913734,1545.46,0.65,ASK
1443913735,1545.46,0.1867,ASK
1443913735,1545.45,0.001,ASK
1443913735,1545.45,0.4623,ASK
1443913759,1545.51,0.06,BID
1443913759,1545.52,0.268,BID
1443913760,1545.52,0.06,BID
1443913775,1545.46,0.06,ASK
1443913775,1545.44,0.001,ASK
1443913775,1545.44,0.001,ASK
1443913775,1545.41,0.7193,ASK
1443913783,1545.52,0.38,BID
1443913813,1545.41,0.3,ASK
1443913813,1545.4,0.2002,ASK
1443913813,1545.4,2.6252,ASK
1443913814,1545.4,0.3,ASK
1443913832,1545.4,2.3402,ASK
1443913833,1545.4,0.1738,ASK
1443913839,1545.4,0.001,ASK
1443913844,1545.4,1.8594,ASK
1443913881,1545.51,0.06,BID
1443913881,1545.52,0.9763,BID
1443913881,1545.52,0.116,BID
1443913888,1545.53,0.06,ASK
1443913888,1545.52,0.44,ASK
1443913896,1545.52,0.5,ASK
1443913903,1545.52,0.5,ASK
1443913908,1545.52,0.5,ASK
1443913913,1545.52,0.5,ASK
1443913917,1545.52,0.05,ASK
1443913918,1545.52,0.5,ASK
1443913919,1545.52,0.6,ASK
1443913922,1545.52,1.0,ASK
1443913923,1545.52,0.5,ASK
1443913995,1545.91,0.06,BID
1443913995,1545.92,0.01,BID
1443913995,1545.93,0.03,BID
1443914004,1545.53,0.0129,ASK
1443914054,1545.54,0.06,ASK
1443914078,1545.52,0.06,ASK
1443914078,1545.44,2.14,ASK
1443914081,1545.44,2.0,BID
1443914097,1545.44,0.4556,BID
1443914097,1545.48,0.07,BID
1443914097,1545.96,0.001,BID
1443914097,1545.96,0.001,BID
1443914097,1545.96,0.001,BID
1443914097,1545.96,0.001,BID
1443914097,1545.99,0.001,BID
1443914097,1545.99,0.111,BID
1443914097,1545.99,1.136,BID
1443914097,1546.0,0.8024,BID
1443914100,1545.43,0.7341,ASK
1443914138,1545.42,0.734,ASK
1443914138,1545.39,0.8,ASK
1443914138,1545.38,0.002,ASK
1443914138,1545.38,0.06,ASK
1443914138,1545.36,0.002,ASK
1443914138,1545.36,0.005,ASK
1443914138,1545.36,0.111,ASK
1443914138,1545.36,0.1483,ASK
